,temp,humidity,dew,wind,rain,solar_rad,pressure
1/1/2000,11.41,64.85,4.28,1.44,0,13.65,96.95
1/2/2000,11.17,72.73,5.92,2.01,0,13.74,97.21
1/3/2000,11.01,84.26,8.32,1.15,0,11.94,97.27
1/4/2000,11.44,74.49,6.7,0.94,0,9.84,97.18
1/5/2000,9.89,69.57,3.65,2.01,0,13.09,97.03
1/6/2000,9.61,62.99,1.93,1.84,0,14.09,96.68
1/7/2000,8.79,54.56,-1.07,1.6,0,12.23,96.78
1/8/2000,9.76,63.53,2.32,1.76,0,13.93,97.05
1/9/2000,9.5,68.26,2.83,2.01,0,14.11,97.24
1/10/2000,7.84,81.82,4.74,1.86,9.54,9.11,96.95
1/11/2000,7.69,75.49,2.78,1.89,0.07,14.23,97.05
1/12/2000,8.33,57.19,-0.81,1.16,0,15.01,97.2
1/13/2000,8.67,60.63,0.36,1.99,0.03,15.08,97.05
1/14/2000,7.92,87.01,5.77,3.06,11.42,6.73,96.37
1/15/2000,8.42,84.11,5.71,2.61,4.27,10.98,96.11
1/16/2000,9.64,67.1,3.25,2.38,0.76,12.06,96.57
1/17/2000,11.4,56.42,2.14,1.78,0,15.12,97.05
1/18/2000,10.87,61.67,2.5,1.82,0.07,12.11,96.98
1/19/2000,10.8,74.06,5.64,2.06,0.01,11.99,96.75
1/20/2000,11.33,63.44,3.88,1.14,0,13.01,96.83
1/21/2000,12.12,59.29,3.49,1.35,0,10.66,96.94
1/22/2000,12.03,63.3,4.16,2,0,12.2,96.85
1/23/2000,11.38,63.21,3.17,1.96,0,15.54,96.63
1/24/2000,11.14,53.56,1.4,1.39,0,12.82,96.41
1/25/2000,12.3,52.15,0.7,2.41,0,14.37,96.16
1/26/2000,10.72,71.99,5.13,2.03,0,15.56,96.56
1/27/2000,12.95,56.65,3.13,1.8,0,13.09,96.82
1/28/2000,13.87,61.71,5.79,1.51,0,14.36,97.12
1/29/2000,14.78,66.6,8.01,1.52,0,14.58,97.38
1/30/2000,15.97,58.17,6.61,1.54,0,16.55,97.38
1/31/2000,16.26,54.01,5.74,1.83,0,14.43,97.71
2/1/2000,16.48,56.97,6.95,1.4,0,16.19,97.76
2/2/2000,16.99,54.22,6.83,2.36,0,16.22,97.71
2/3/2000,16.33,55.24,6.24,1.65,0,16.16,97.51
2/4/2000,16.73,53.15,6.03,1.66,0,15.57,97.51
2/5/2000,16.55,52.31,5.09,1.53,0,16.71,97.67
2/6/2000,14.66,57.73,4.93,1.63,0,16.97,97.9
2/7/2000,13.69,58.45,4.25,2.01,0,16.87,98
2/8/2000,13.38,59.86,4.31,2.37,0,17.27,97.95
2/9/2000,14.05,60.99,5.54,1.91,0,16.82,97.69
2/10/2000,15.78,53.41,5.17,1.17,0,17.4,97.31
2/11/2000,16,54.66,5.45,1.44,0,17.36,97.12
2/12/2000,14.64,65.72,7.31,1.67,0,17.02,97.26
2/13/2000,14.59,60.71,5.86,1.74,0,17.41,97.28
2/14/2000,14.92,53.63,3.74,1.45,0,17.8,97.32
2/15/2000,15.21,51.06,3.52,1.85,0,17.74,97.31
2/16/2000,15.06,52.37,3.97,2.03,0,17.93,97.4
2/17/2000,14.43,60.17,5.35,2.33,0,18.58,97.28
2/18/2000,15.75,53.24,4.02,1.34,0,18.36,97
2/19/2000,16.25,51.88,4.17,1.76,0,18.36,96.94
2/20/2000,16.78,53.4,4.93,1.8,0,17.5,96.81
2/21/2000,16.05,61.78,6.39,1.69,0,18.34,96.97
2/22/2000,16,57.13,5.04,2.28,0,17.74,97.12
2/23/2000,15.82,47.06,2.24,2.6,0,18.92,96.95
2/24/2000,18.45,37.32,1.36,2.19,0,16.4,96.82
2/25/2000,17.01,44.58,3.11,2.01,0,13.2,97.17
2/26/2000,15.83,56.18,5.7,2.21,0,17.65,97.29
2/27/2000,16.14,55.88,6.09,1.99,0,17.7,97.17
2/28/2000,15.88,72.6,9.99,2.3,0,16.8,97.17
2/29/2000,15.66,70.22,9.26,2.14,0.01,18.06,97.18
3/1/2000,16.75,55.7,5.9,2.24,0,19.6,97.19
3/2/2000,16.83,50.39,4.4,1.83,0,19.23,97.04
3/3/2000,18.53,41.93,2.76,1.58,0,19.92,96.91
3/4/2000,19.98,36.92,2.64,1.8,0,19.32,96.92
3/5/2000,20.26,38.04,4.18,1.64,0,13.73,96.9
3/6/2000,21.47,37.37,4.6,1.78,0,14.72,96.91
3/7/2000,21.87,34.71,4.12,2.77,0,15.5,96.97
3/8/2000,22.02,34.92,4.75,2.84,0,14.95,97.06
3/9/2000,22.89,38.35,6.75,2.27,0,17.69,97.15
3/10/2000,22.51,34.77,4.33,2.48,0,19.86,97
3/11/2000,20.86,40.2,5.42,2.35,0,17.53,96.88
3/12/2000,19.64,48.49,6.88,2.29,0,18.76,96.92
3/13/2000,19.18,48.04,6.02,1.8,0,20.96,97.02
3/14/2000,17.09,50.92,4.69,2.48,0,22.3,96.89
3/15/2000,16.95,50.9,4.2,2.11,0,22.34,96.55
3/16/2000,18.4,40.71,2.88,1.77,0,21.4,96.47
3/17/2000,18.67,39.48,2.59,1.88,0,21.32,96.59
3/18/2000,16.48,48.13,3.5,2.32,0,22.5,96.65
3/19/2000,15.62,54.71,4.12,1.91,0,22.88,96.42
3/20/2000,15.34,57.12,5.07,1.85,0,22.68,96.03
3/21/2000,14.14,68.57,7.15,2.54,0,11.26,95.99
3/22/2000,13.92,64.15,6.31,2.85,0.03,19.47,96.27
3/23/2000,14.29,58.54,4.99,2.18,0.01,19.09,96.45
3/24/2000,13.82,63.46,5.36,2.75,0.01,22.45,96.61
3/25/2000,14.05,62.23,4.89,3.47,0,23.7,96.68
3/26/2000,15.65,58.24,5.42,4.03,0.05,23.64,96.5
3/27/2000,17.7,49.58,4.69,2.57,0,22.6,96.2
